Time
0:00.47 MiB Mem :   1827.1 total,   1642.4 free,    121.7 used,     63.0 buff/cache
0:01.46 MiB Mem :   1827.1 total,   1569.3 free,    194.8 used,     63.0 buff/cache
0:02.44 MiB Mem :   1827.1 total,   1496.0 free,    268.1 used,     63.0 buff/cache
0:03.44 MiB Mem :   1827.1 total,   1421.8 free,    342.3 used,     63.0 buff/cache
0:04.42 MiB Mem :   1827.1 total,   1349.0 free,    415.1 used,     63.0 buff/cache
0:05.40 MiB Mem :   1827.1 total,   1275.9 free,    488.1 used,     63.0 buff/cache
0:06.36 MiB Mem :   1827.1 total,   1203.5 free,    560.6 used,     63.0 buff/cache
0:07.35 MiB Mem :   1827.1 total,   1131.5 free,    632.5 used,     63.0 buff/cache
0:08.33 MiB Mem :   1827.1 total,   1058.7 free,    705.4 used,     63.0 buff/cache
0:09.32 MiB Mem :   1827.1 total,    986.1 free,    778.0 used,     63.0 buff/cache
0:10.30 MiB Mem :   1827.1 total,    913.5 free,    850.5 used,     63.0 buff/cache
0:11.28 MiB Mem :   1827.1 total,    842.4 free,    921.7 used,     63.0 buff/cache
0:12.26 MiB Mem :   1827.1 total,    770.8 free,    993.3 used,     63.0 buff/cache
0:13.25 MiB Mem :   1827.1 total,    699.2 free,   1064.9 used,     63.0 buff/cache
0:14.24 MiB Mem :   1827.1 total,    625.3 free,   1138.8 used,     63.0 buff/cache
0:15.21 MiB Mem :   1827.1 total,    553.2 free,   1210.9 used,     63.0 buff/cache
0:16.19 MiB Mem :   1827.1 total,    484.6 free,   1279.5 used,     63.0 buff/cache
0:17.17 MiB Mem :   1827.1 total,    418.2 free,   1345.9 used,     63.0 buff/cache
0:18.16 MiB Mem :   1827.1 total,    352.9 free,   1411.2 used,     63.0 buff/cache
0:19.15 MiB Mem :   1827.1 total,    286.4 free,   1477.7 used,     63.0 buff/cache
0:20.13 MiB Mem :   1827.1 total,    219.9 free,   1544.2 used,     63.0 buff/cache
0:21.12 MiB Mem :   1827.1 total,    151.9 free,   1612.2 used,     63.0 buff/cache
0:22.12 MiB Mem :   1827.1 total,     83.4 free,   1680.6 used,     63.0 buff/cache
0:25.47 MiB Mem :   1827.1 total,     76.5 free,   1711.9 used,     38.7 buff/cache
0:27.28 MiB Mem :   1827.1 total,     71.4 free,   1709.6 used,     46.0 buff/cache
0:29.46 MiB Mem :   1827.1 total,     75.0 free,   1713.0 used,     39.1 buff/cache
0:31.34 MiB Mem :   1827.1 total,     71.2 free,   1709.8 used,     46.1 buff/cache
0:32.61 MiB Mem :   1827.1 total,     76.6 free,   1705.5 used,     44.9 buff/cache
0:35.42 MiB Mem :   1827.1 total,    784.7 free,    982.5 used,     59.9 buff/cache
0:37.27 MiB Mem :   1827.1 total,    725.7 free,   1041.3 used,     60.0 buff/cache
0:39.06 MiB Mem :   1827.1 total,    664.0 free,   1103.0 used,     60.0 buff/cache
0:40.87 MiB Mem :   1827.1 total,    601.8 free,   1165.2 used,     60.1 buff/cache
0:42.68 MiB Mem :   1827.1 total,    539.5 free,   1227.5 used,     60.1 buff/cache
0:44.48 MiB Mem :   1827.1 total,    477.4 free,   1289.6 used,     60.1 buff/cache
0:46.30 MiB Mem :   1827.1 total,    415.2 free,   1351.7 used,     60.2 buff/cache
0:48.10 MiB Mem :   1827.1 total,    352.4 free,   1414.4 used,     60.2 buff/cache
0:49.90 MiB Mem :   1827.1 total,    290.1 free,   1476.8 used,     60.2 buff/cache
0:51.71 MiB Mem :   1827.1 total,    227.2 free,   1539.6 used,     60.2 buff/cache
0:53.52 MiB Mem :   1827.1 total,    164.7 free,   1602.1 used,     60.2 buff/cache
0:55.32 MiB Mem :   1827.1 total,    101.8 free,   1665.0 used,     60.2 buff/cache
1:00.06 MiB Mem :   1827.1 total,     70.0 free,   1715.5 used,     41.5 buff/cache
1:03.99 MiB Mem :   1827.1 total,     74.7 free,   1707.8 used,     44.5 buff/cache
1:07.77 MiB Mem :   1827.1 total,     71.2 free,   1717.5 used,     38.4 buff/cache
