Time
0:00.47 MiB Swap:    820.0 total,    714.2 free,    105.8 used.   1600.5 avail Mem 
0:01.46 MiB Swap:    820.0 total,    714.2 free,    105.8 used.   1527.4 avail Mem 
0:02.44 MiB Swap:    820.0 total,    714.2 free,    105.8 used.   1454.1 avail Mem 
0:03.44 MiB Swap:    820.0 total,    714.2 free,    105.8 used.   1379.9 avail Mem 
0:04.42 MiB Swap:    820.0 total,    714.2 free,    105.8 used.   1307.1 avail Mem 
0:05.40 MiB Swap:    820.0 total,    714.2 free,    105.8 used.   1234.1 avail Mem 
0:06.36 MiB Swap:    820.0 total,    714.2 free,    105.8 used.   1161.6 avail Mem 
0:07.35 MiB Swap:    820.0 total,    714.2 free,    105.8 used.   1089.7 avail Mem 
0:08.33 MiB Swap:    820.0 total,    714.2 free,    105.8 used.   1016.8 avail Mem 
0:09.32 MiB Swap:    820.0 total,    714.2 free,    105.8 used.    944.2 avail Mem 
0:10.30 MiB Swap:    820.0 total,    714.2 free,    105.8 used.    871.7 avail Mem 
0:11.28 MiB Swap:    820.0 total,    714.2 free,    105.8 used.    800.5 avail Mem 
0:12.26 MiB Swap:    820.0 total,    714.2 free,    105.8 used.    728.9 avail Mem 
0:13.25 MiB Swap:    820.0 total,    714.2 free,    105.8 used.    657.3 avail Mem 
0:14.24 MiB Swap:    820.0 total,    714.2 free,    105.8 used.    583.4 avail Mem 
0:15.21 MiB Swap:    820.0 total,    714.2 free,    105.8 used.    511.3 avail Mem 
0:16.19 MiB Swap:    820.0 total,    714.2 free,    105.8 used.    442.7 avail Mem 
0:17.17 MiB Swap:    820.0 total,    714.2 free,    105.8 used.    376.3 avail Mem 
0:18.16 MiB Swap:    820.0 total,    714.2 free,    105.8 used.    311.0 avail Mem 
0:19.15 MiB Swap:    820.0 total,    714.2 free,    105.8 used.    244.5 avail Mem 
0:20.13 MiB Swap:    820.0 total,    714.2 free,    105.8 used.    178.0 avail Mem 
0:21.12 MiB Swap:    820.0 total,    714.2 free,    105.8 used.    110.0 avail Mem 
0:22.12 MiB Swap:    820.0 total,    714.2 free,    105.8 used.     41.6 avail Mem 
0:25.47 MiB Swap:    820.0 total,    539.2 free,    280.8 used.     22.9 avail Mem 
0:27.28 MiB Swap:    820.0 total,    404.1 free,    415.9 used.     21.5 avail Mem 
0:29.46 MiB Swap:    820.0 total,    266.9 free,    553.1 used.     21.6 avail Mem 
0:31.34 MiB Swap:    820.0 total,    123.7 free,    696.3 used.     21.3 avail Mem 
0:32.61 MiB Swap:    820.0 total,     31.8 free,    788.2 used.     26.1 avail Mem 
0:35.42 MiB Swap:    820.0 total,    375.9 free,    444.1 used.    741.3 avail Mem 
0:37.27 MiB Swap:    820.0 total,    375.9 free,    444.1 used.    682.4 avail Mem 
0:39.06 MiB Swap:    820.0 total,    375.9 free,    444.1 used.    620.7 avail Mem 
0:40.87 MiB Swap:    820.0 total,    375.9 free,    444.1 used.    558.5 avail Mem 
0:42.68 MiB Swap:    820.0 total,    375.9 free,    444.1 used.    496.2 avail Mem 
0:44.48 MiB Swap:    820.0 total,    375.9 free,    444.1 used.    434.1 avail Mem 
0:46.30 MiB Swap:    820.0 total,    375.9 free,    444.1 used.    371.9 avail Mem 
0:48.10 MiB Swap:    820.0 total,    375.9 free,    444.1 used.    309.1 avail Mem 
0:49.90 MiB Swap:    820.0 total,    375.9 free,    444.1 used.    246.8 avail Mem 
0:51.71 MiB Swap:    820.0 total,    375.9 free,    444.1 used.    183.9 avail Mem 
0:53.52 MiB Swap:    820.0 total,    375.9 free,    444.1 used.    121.5 avail Mem 
0:55.32 MiB Swap:    820.0 total,    375.9 free,    444.1 used.     58.6 avail Mem 
1:00.06 MiB Swap:    820.0 total,    291.7 free,    528.3 used.     17.7 avail Mem 
1:03.99 MiB Swap:    820.0 total,    140.7 free,    679.3 used.     24.0 avail Mem 
1:07.77 MiB Swap:    820.0 total,     18.4 free,    801.6 used.     17.4 avail Mem 
